tier,category,slug,working_title,target_query,status,notes
0,landing,bluesky-api,Bluesky API,bluesky api,idea,Per-platform landing
0,landing,linkedin-api,LinkedIn API,linkedin api,idea,Per-platform landing
0,landing,x-api,X (Twitter) API,x api,idea,Per-platform landing
0,landing,instagram-api,Instagram API,instagram api,idea,Per-platform landing
0,landing,facebook-api,Facebook API,facebook api,idea,Per-platform landing
0,landing,threads-api,Threads API,threads api,idea,Per-platform landing
0,landing,youtube-api,YouTube API,youtube api,idea,Per-platform landing
0,landing,pinterest-api,Pinterest API,pinterest api,idea,Per-platform landing
0,landing,errors/bluesky,Bluesky API error catalog,bluesky api errors,idea,Index page linking to per-error pages
0,landing,errors/linkedin,LinkedIn API error catalog,linkedin api errors,idea,Index page linking to per-error pages
0,landing,errors/x,X (Twitter) API error catalog,twitter api errors,idea,Index page linking to per-error pages
0,landing,errors/instagram,Instagram API error catalog,instagram api errors,idea,Index page linking to per-error pages
0,landing,errors/threads,Threads API error catalog,threads api errors,idea,Index page linking to per-error pages
0,landing,errors/facebook,Facebook API error catalog,facebook api errors,idea,Index page linking to per-error pages
0,landing,errors/youtube,YouTube API error catalog,youtube api errors,idea,Index page linking to per-error pages
0,landing,errors/pinterest,Pinterest API error catalog,pinterest api errors,idea,Index page linking to per-error pages
1,error,errors/linkedin/65601-unsupported-media-type,Fix LinkedIn API error 65601: unsupported media type,linkedin error 65601,idea,Verify exact code in LinkedIn UGC docs
1,error,errors/linkedin/65604-text-too-large,Fix LinkedIn API error 65604: text content too large,linkedin error 65604,idea,Verify exact code
1,error,errors/linkedin/65605-image-too-large,Fix LinkedIn API error 65605: image size limit,linkedin error 65605,idea,Verify exact code
1,error,errors/linkedin/110-not-allowed-author,Fix LinkedIn API error 110: not allowed on author,linkedin error 110,idea,Common org-page posting failure
1,error,errors/linkedin/410-version-gone,Fix LinkedIn API 410 Gone: version deprecated,linkedin api 410 gone,idea,Wedge content — version churn
1,error,errors/linkedin/token-expired,LinkedIn API token expired: how to refresh,linkedin api token expired,idea,60-day refresh lifecycle
1,error,errors/threads/oauthexception-2207052,Fix Threads OAuthException 2207052,threads oauthexception 2207052,idea,Real cited error from research corpus
1,error,errors/threads/2207057-invalid-media,Fix Threads error 2207057: invalid media,threads error 2207057,idea,
1,error,errors/instagram/9007-media-not-found,Fix Instagram Graph error 9007: media not found,instagram error 9007,idea,Verify exact code in Graph docs
1,error,errors/instagram/200-permission-denied,Fix Instagram Graph error 200: permission denied,instagram error 200,idea,Scope/business-account issue
1,error,errors/instagram/2207003-publish-failed,Fix Instagram error 2207003: publish failed,instagram error 2207003,idea,
1,error,errors/youtube/videos-insert-forbidden,Fix YouTube videos.insert forbidden,youtube videos insert forbidden,idea,Common scope mismatch
1,error,errors/youtube/quota-exceeded,Fix YouTube API quotaExceeded,youtube api quotaexceeded,idea,Pair with quota calculator tool
1,error,errors/x/187-duplicate-content,Fix X/Twitter error 187: duplicate content,twitter error 187,idea,
1,error,errors/x/220-credentials-do-not-allow,Fix X/Twitter error 220: credentials don't allow access,twitter error 220,idea,
1,error,errors/bluesky/jwt-expired,Fix Bluesky JWT expired error,bluesky jwt expired,idea,Minutes-long lifecycle = high volume
1,error,errors/pinterest/403-board-permission,Fix Pinterest API 403: board permission denied,pinterest api 403,idea,
1,preflight,prevent-double-posting-social-media-api,How to prevent double-posting in social media APIs,prevent double posting api,idea,Wedge — links to Postiz postmortem
1,preflight,idempotency-keys-social-media-publishing,Idempotency keys for social media publishing,idempotency keys social media,idea,Wedge — links to spec/RFC
1,preflight,preflight-validation-social-media-api,Preflight validation for social media APIs,preflight validation api,idea,Pillar page for our wedge
1,preflight,linkedin-character-limit-3000,LinkedIn character limit: 3000 chars + emoji counting,linkedin character limit,idea,Pair with character counter tool
1,preflight,bluesky-grapheme-character-count,Bluesky character limit: graphemes vs characters,bluesky character limit,idea,Pair with grapheme counter tool
1,preflight,instagram-reels-format-requirements,Instagram Reels format requirements: validate before upload,instagram reels format requirements,idea,
1,version,linkedin-api-version-history,LinkedIn API version sunset history (2024-2026),linkedin api version history,idea,Wedge — five sunsets in six months
1,version,linkedin-api-version-pinning,LinkedIn API version pinning explained,linkedin api version pinning,idea,
1,version,meta-graph-api-version-history,Meta Graph API version history and deprecations,meta graph api version history,idea,
1,version,youtube-data-api-v3-quota-cost,YouTube Data API v3 quota cost calculator,youtube api quota cost,idea,Pair with calculator tool
1,editorial,why-social-media-apis-fail-silently,Why social media APIs fail silently,why social media apis fail,idea,Authority piece — citations from research corpus
1,editorial,postiz-double-posting-postmortem,Postiz double-posting bug postmortem (issue #1321),postiz double posting bug,idea,High GEO potential — cite the issue
1,editorial,2am-debugging-social-media-apis,The 2am developer's guide to debugging social media APIs,debugging social media apis,idea,Pillar editorial
2,alternative,ayrshare-alternative,Ayrshare alternative for developers,ayrshare alternative,idea,High commercial intent
2,alternative,postiz-alternative,Postiz alternative with reliable publishing,postiz alternative,idea,OSS-vs-OSS positioning
2,alternative,buffer-api-alternative,Buffer API alternative for developers,buffer api alternative,idea,
2,alternative,hootsuite-api-alternative,Hootsuite API alternative,hootsuite api alternative,idea,
2,alternative,later-alternative-developers,Later alternative for developers,later alternative developers,idea,
2,alternative,sprout-social-api-alternative,Sprout Social API alternative,sprout social api alternative,idea,
2,alternative,publer-api-alternative,Publer API alternative,publer api alternative,idea,
2,alternative,typefully-alternative-developers,Typefully API alternative for developers,typefully alternative,idea,Zernio gap
2,alternative,hypefury-api-alternative,Hypefury API alternative,hypefury api alternative,idea,Zernio gap
2,alternative,blotato-alternative,Blotato alternative for developers,blotato alternative,idea,
2,alternative,postbridge-alternative,Postbridge alternative,postbridge alternative,idea,
2,alternative,uploadpost-alternative,Uploadpost alternative,uploadpost alternative,idea,
2,alternative,metricool-api-alternative,Metricool API alternative,metricool api alternative,idea,
2,alternative,coschedule-alternative,CoSchedule API alternative,coschedule alternative,idea,
2,alternative,loomly-api-alternative,Loomly API alternative,loomly api alternative,idea,
2,alternative,unipile-alternative,Unipile alternative,unipile alternative,idea,Zernio gap — direct API competitor
2,alternative,self-hosted-social-media-scheduler,Self-hosted social media scheduler,self hosted social media scheduler,idea,OSS lane Zernio can't enter
2,alternative,open-source-buffer-alternative,Open-source Buffer alternative,open source buffer alternative,idea,
2,alternative,open-source-ayrshare-alternative,Open-source Ayrshare alternative,open source ayrshare alternative,idea,
2,integration,n8n-linkedin-integration,n8n LinkedIn integration (2026 guide),n8n linkedin,idea,Top ICP fit
2,integration,n8n-bluesky-integration,n8n Bluesky integration,n8n bluesky,idea,
2,integration,n8n-instagram-integration,n8n Instagram integration,n8n instagram,idea,
2,integration,n8n-multi-platform-publishing,n8n multi-platform social publishing workflow,n8n multi platform social,idea,
2,integration,n8n-social-media-error-handling,n8n social media error-handling pattern,n8n social media error handling,idea,
2,integration,zapier-bluesky-integration,Zapier Bluesky integration,zapier bluesky,idea,
2,integration,zapier-multi-platform-social-media,Zapier multi-platform social media automation,zapier multi platform social,idea,
2,integration,make-com-linkedin-integration,Make.com LinkedIn integration,make.com linkedin,idea,
2,integration,make-com-bluesky-integration,Make.com Bluesky integration,make.com bluesky,idea,
2,integration,pipedream-social-media-automation,Pipedream social media automation,pipedream social media,idea,
2,integration,pabbly-social-media-alternative,Pabbly social media alternative,pabbly social media,idea,
2,ai-agent,langgraph-post-to-twitter,LangGraph: post to X/Twitter from your agent,langgraph twitter,idea,GEO play — high LLM citation potential
2,ai-agent,langgraph-post-to-linkedin,LangGraph: post to LinkedIn from your agent,langgraph linkedin,idea,GEO play
2,ai-agent,langgraph-multi-platform-publisher,LangGraph multi-platform social publisher,langgraph social media,idea,
2,ai-agent,crewai-social-media-agent,Build a CrewAI social media agent,crewai social media,idea,
2,ai-agent,crewai-twitter-bot-tutorial,CrewAI Twitter bot tutorial,crewai twitter,idea,
2,ai-agent,mcp-server-social-media-publisher,Build an MCP server for social media publishing,mcp server social media,idea,
2,ai-agent,claude-mcp-post-to-social-media,Post to social media from Claude via MCP,claude mcp social media,idea,
2,ai-agent,openai-assistants-twitter,OpenAI Assistants: Twitter integration,openai assistants twitter,idea,
2,ai-agent,openai-assistants-linkedin,OpenAI Assistants: LinkedIn integration,openai assistants linkedin,idea,
2,ai-agent,vercel-ai-sdk-social-media-tool,Vercel AI SDK: social media publishing tool,vercel ai sdk social media,idea,
2,ai-agent,claude-code-social-media-automation,Claude Code: social media automation recipes,claude code social media,idea,
2,ai-agent,ai-agent-post-to-social-media,How to make an AI agent post to social media,ai agent social media,idea,Pillar — link from all per-framework pages
2,ai-agent,llm-tool-calling-social-publishing,LLM tool calling for social publishing,tool calling social media,idea,
2,ai-agent,gpt-4-social-media-agent,Build a GPT-4 social media agent,gpt-4 social media agent,idea,
2,ai-agent,pydantic-ai-social-media,Pydantic AI: social media publisher,pydantic ai social media,idea,Zernio gap
2,oauth,linkedin-oauth-2026-guide,LinkedIn OAuth 2.0 complete guide (2026),linkedin oauth,idea,
2,oauth,linkedin-60-day-token-refresh,LinkedIn 60-day token refresh: full lifecycle,linkedin token refresh,idea,
2,oauth,meta-graph-token-refresh,Meta Graph token refresh for Instagram/Facebook,meta graph token refresh,idea,
2,oauth,google-business-daily-refresh,Google Business Profile daily token refresh,google business token refresh,idea,
2,oauth,bluesky-atproto-jwt-refresh,Bluesky AT Protocol JWT refresh pattern,bluesky jwt refresh,idea,
2,oauth,twitter-pkce-oauth-flow,X/Twitter PKCE OAuth 2.0 flow,twitter pkce oauth,idea,
3,programmatic,post-to-bluesky-api-python,Post to Bluesky API in Python,bluesky api python,idea,Per-language template
3,programmatic,post-to-bluesky-api-typescript,Post to Bluesky API in TypeScript,bluesky api typescript,idea,
3,programmatic,post-to-bluesky-api-go,Post to Bluesky API in Go,bluesky api go,idea,
3,programmatic,post-to-linkedin-api-python,Post to LinkedIn API in Python,linkedin api python,idea,
3,programmatic,post-to-linkedin-api-typescript,Post to LinkedIn API in TypeScript,linkedin api typescript,idea,
3,programmatic,post-to-linkedin-api-go,Post to LinkedIn API in Go,linkedin api go,idea,
3,programmatic,post-to-x-api-python,Post to X (Twitter) API in Python,twitter api python,idea,
3,programmatic,post-to-x-api-typescript,Post to X (Twitter) API in TypeScript,twitter api typescript,idea,
3,programmatic,post-to-x-api-go,Post to X (Twitter) API in Go,twitter api go,idea,
3,programmatic,post-to-threads-api-python,Post to Threads API in Python,threads api python,idea,
3,programmatic,post-to-threads-api-typescript,Post to Threads API in TypeScript,threads api typescript,idea,
3,programmatic,post-to-threads-api-go,Post to Threads API in Go,threads api go,idea,
3,programmatic,post-to-instagram-api-python,Post to Instagram API in Python,instagram api python,idea,
3,programmatic,post-to-instagram-api-typescript,Post to Instagram API in TypeScript,instagram api typescript,idea,
3,programmatic,post-to-instagram-api-go,Post to Instagram API in Go,instagram api go,idea,
3,programmatic,post-to-facebook-api-python,Post to Facebook API in Python,facebook api python,idea,
3,programmatic,post-to-facebook-api-typescript,Post to Facebook API in TypeScript,facebook api typescript,idea,
3,programmatic,post-to-facebook-api-go,Post to Facebook API in Go,facebook api go,idea,
3,programmatic,post-to-youtube-api-python,Post to YouTube API in Python,youtube api python,idea,
3,programmatic,post-to-youtube-api-typescript,Post to YouTube API in TypeScript,youtube api typescript,idea,
3,programmatic,post-to-youtube-api-go,Post to YouTube API in Go,youtube api go,idea,
3,programmatic,post-to-pinterest-api-python,Post to Pinterest API in Python,pinterest api python,idea,
3,programmatic,post-to-pinterest-api-typescript,Post to Pinterest API in TypeScript,pinterest api typescript,idea,
3,programmatic,post-to-pinterest-api-go,Post to Pinterest API in Go,pinterest api go,idea,
3,platform-action,linkedin-image-post-api,LinkedIn image post API,linkedin image post api,idea,
3,platform-action,linkedin-video-post-api,LinkedIn video post API,linkedin video post api,idea,
3,platform-action,linkedin-article-post-api,LinkedIn article post API,linkedin article post api,idea,
3,platform-action,linkedin-organization-page-posting,LinkedIn organization page posting API,linkedin organization page api,idea,
3,platform-action,linkedin-personal-profile-posting,LinkedIn personal profile posting API,linkedin personal profile api,idea,
3,platform-action,twitter-thread-api,Twitter/X thread API,twitter thread api,idea,
3,platform-action,twitter-image-tweet-api,Twitter/X image tweet API,twitter image tweet api,idea,
3,platform-action,threads-thread-chain-api,Threads thread chain API,threads thread api,idea,
3,platform-action,instagram-reels-upload-api,Instagram Reels upload API,instagram reels upload api,idea,
3,platform-action,instagram-stories-api,Instagram Stories API,instagram stories api,idea,
3,platform-action,instagram-carousel-api,Instagram carousel API,instagram carousel api,idea,
3,platform-action,instagram-tagging-api,Instagram tagging API,instagram tagging api,idea,
3,platform-action,facebook-page-posting-api,Facebook page posting API,facebook page posting api,idea,
3,platform-action,facebook-video-upload-api,Facebook video upload API,facebook video upload api,idea,
3,platform-action,youtube-shorts-upload-api,YouTube Shorts upload API,youtube shorts upload api,idea,
3,platform-action,youtube-resumable-upload-api,YouTube resumable upload API,youtube resumable upload,idea,
3,platform-action,pinterest-pin-create-api,Pinterest pin create API,pinterest pin api,idea,
3,platform-action,pinterest-rich-pin-api,Pinterest rich pin API,pinterest rich pin api,idea,
3,schedule,schedule-bluesky-posts-via-api,Schedule Bluesky posts via API,schedule bluesky posts api,idea,
3,schedule,schedule-linkedin-posts-via-api,Schedule LinkedIn posts via API,schedule linkedin posts api,idea,
3,schedule,schedule-twitter-posts-via-api,Schedule X/Twitter posts via API,schedule twitter posts api,idea,
3,schedule,schedule-instagram-posts-via-api,Schedule Instagram posts via API,schedule instagram posts api,idea,
3,schedule,schedule-threads-posts-via-api,Schedule Threads posts via API,schedule threads posts api,idea,
3,schedule,schedule-facebook-posts-via-api,Schedule Facebook posts via API,schedule facebook posts api,idea,
3,schedule,schedule-youtube-shorts-via-api,Schedule YouTube Shorts via API,schedule youtube shorts api,idea,
3,schedule,schedule-pinterest-pins-via-api,Schedule Pinterest pins via API,schedule pinterest pins api,idea,
3,tool,tools/linkedin-character-counter,LinkedIn character counter,linkedin character counter,idea,Backlink magnet
3,tool,tools/x-character-counter,X/Twitter character counter,twitter character counter,idea,
3,tool,tools/bluesky-grapheme-counter,Bluesky grapheme counter,bluesky character counter,idea,
3,tool,tools/threads-character-counter,Threads character counter,threads character counter,idea,
3,tool,tools/idempotency-key-generator,Idempotency key generator,idempotency key generator,idea,
3,tool,tools/youtube-quota-cost-calculator,YouTube API quota cost calculator,youtube api quota calculator,idea,
3,tool,tools/oauth-scope-checker-linkedin,LinkedIn OAuth scope checker,linkedin oauth scope checker,idea,
3,tool,tools/social-media-character-counter,Multi-platform character counter,social media character counter,idea,Unified — link target for all platform counters
